decade,x_center,y_center,attempts,makes,points,fg_pct,pps
2020s,130,30,1229,482,964,0.3922,0.7844
2020s,150,30,1031,463,926,0.4491,0.8982
2020s,170,30,527,215,430,0.4080,0.8159
2020s,190,30,349,119,238,0.3410,0.6819
2020s,210,30,249,99,208,0.3976,0.8353
2020s,230,30,14306,5635,16905,0.3939,1.1817
2020s,250,30,690,251,753,0.3638,1.0913
2020s,-250,50,192,70,210,0.3646,1.0938
2020s,-230,50,6828,2576,7728,0.3773,1.1318
2020s,-210,50,163,69,160,0.4233,0.9816
2020s,-190,50,268,93,186,0.3470,0.6940
2020s,-170,50,426,183,366,0.4296,0.8592
2020s,-150,50,748,305,610,0.4078,0.8155
2020s,-130,50,1059,444,888,0.4193,0.8385
2020s,-110,50,1289,555,1110,0.4306,0.8611
2020s,-90,50,1759,725,1450,0.4122,0.8243
2020s,-70,50,2579,1085,2170,0.4207,0.8414
2020s,-50,50,4509,1759,3518,0.3901,0.7802
2020s,-30,50,7841,3170,6340,0.4043,0.8086
2020s,-10,50,13198,5830,11660,0.4417,0.8835
2020s,10,50,14366,6453,12906,0.4492,0.8984
2020s,30,50,9006,3755,7510,0.4169,0.8339
2020s,50,50,5495,2208,4416,0.4018,0.8036
2020s,70,50,3195,1334,2668,0.4175,0.8351
2020s,90,50,1909,828,1656,0.4337,0.8675
2020s,110,50,1226,493,986,0.4021,0.8042
2020s,130,50,899,345,690,0.3838,0.7675
2020s,150,50,823,363,726,0.4411,0.8821
2020s,170,50,391,155,310,0.3964,0.7928
2020s,190,50,257,97,194,0.3774,0.7549
2020s,210,50,168,57,121,0.3393,0.7202
2020s,230,50,9177,3515,10545,0.3830,1.1491
2020s,250,50,412,136,408,0.3301,0.9903
2020s,-250,70,107,40,120,0.3738,1.1215
2020s,-230,70,4448,1716,5148,0.3858,1.1574
2020s,-210,70,159,58,128,0.3648,0.8050
2020s,-190,70,211,81,162,0.3839,0.7678
2020s,-170,70,361,139,278,0.3850,0.7701
2020s,-150,70,631,239,478,0.3788,0.7575
2020s,-130,70,905,361,722,0.3989,0.7978
2020s,-110,70,1143,442,884,0.3867,0.7734
2020s,-90,70,1520,627,1254,0.4125,0.8250
2020s,-70,70,2205,928,1856,0.4209,0.8417
2020s,-50,70,3618,1529,3058,0.4226,0.8452
2020s,-30,70,5357,2263,4526,0.4224,0.8449
2020s,-10,70,9566,4325,8650,0.4521,0.9042
2020s,10,70,10182,4509,9018,0.4428,0.8857
2020s,30,70,5681,2481,4962,0.4367,0.8734
2020s,50,70,3881,1692,3384,0.4360,0.8719
2020s,70,70,2515,1089,2178,0.4330,0.8660
2020s,90,70,1531,648,1296,0.4233,0.8465
2020s,110,70,1159,476,952,0.4107,0.8214
2020s,130,70,842,333,666,0.3955,0.7910
2020s,150,70,646,265,530,0.4102,0.8204
2020s,170,70,380,154,308,0.4053,0.8105
2020s,190,70,241,70,140,0.2905,0.5809
2020s,210,70,144,49,102,0.3403,0.7083
2020s,230,70,6352,2383,7149,0.3752,1.1255
2020s,250,70,277,111,333,0.4007,1.2022
2020s,-250,90,63,22,66,0.3492,1.0476
2020s,-230,90,3146,1201,3603,0.3818,1.1453
2020s,-210,90,228,89,212,0.3904,0.9298
2020s,-190,90,237,103,206,0.4346,0.8692
2020s,-170,90,349,132,264,0.3782,0.7564
2020s,-150,90,600,251,502,0.4183,0.8367
2020s,-130,90,892,350,700,0.3924,0.7848
2020s,-110,90,1097,452,904,0.4120,0.8241
2020s,-90,90,1442,589,1178,0.4085,0.8169
2020s,-70,90,1903,862,1724,0.4530,0.9059
2020s,-50,90,3050,1321,2642,0.4331,0.8662
2020s,-30,90,3983,1784,3568,0.4479,0.8958
2020s,-10,90,6025,2683,5366,0.4453,0.8906
2020s,10,90,6560,2922,5844,0.4454,0.8909
2020s,30,90,4340,1924,3848,0.4433,0.8866
2020s,50,90,3409,1539,3078,0.4515,0.9029
2020s,70,90,2056,920,1840,0.4475,0.8949
2020s,90,90,1454,645,1290,0.4436,0.8872
2020s,110,90,1156,496,992,0.4291,0.8581
2020s,130,90,883,375,750,0.4247,0.8494
2020s,150,90,657,268,536,0.4079,0.8158
2020s,170,90,342,134,268,0.3918,0.7836
2020s,190,90,200,84,168,0.4200,0.8400
2020s,210,90,149,61,146,0.4094,0.9799
2020s,230,90,3884,1427,4281,0.3674,1.1022
2020s,250,90,137,48,144,0.3504,1.0511
2020s,-250,110,31,13,39,0.4194,1.2581
2020s,-230,110,3330,1217,3651,0.3655,1.0964
2020s,-210,110,1057,393,1163,0.3718,1.1003
2020s,-190,110,233,92,184,0.3948,0.7897
2020s,-170,110,323,121,242,0.3746,0.7492
2020s,-150,110,623,261,522,0.4189,0.8379
2020s,-130,110,918,378,756,0.4118,0.8235
2020s,-110,110,1228,526,1052,0.4283,0.8567
2020s,-90,110,1362,580,1160,0.4258,0.8517
2020s,-70,110,1864,839,1678,0.4501,0.9002
2020s,-50,110,3203,1457,2914,0.4549,0.9098
2020s,-30,110,3274,1450,2900,0.4429,0.8858
2020s,-10,110,4952,2299,4598,0.4643,0.9285
2020s,10,110,5217,2437,4874,0.4671,0.9343
2020s,30,110,3614,1648,3296,0.4560,0.9120
2020s,50,110,3495,1587,3174,0.4541,0.9082
2020s,70,110,2181,961,1922,0.4406,0.8812
2020s,90,110,1523,683,1366,0.4485,0.8969
2020s,110,110,1371,604,1208,0.4406,0.8811
2020s,130,110,1115,427,854,0.3830,0.7659
2020s,150,110,663,271,542,0.4087,0.8175
2020s,170,110,310,118,236,0.3806,0.7613
2020s,190,110,201,68,136,0.3383,0.6766
2020s,210,110,997,364,1071,0.3651,1.0742
2020s,230,110,3570,1343,4029,0.3762,1.1286
2020s,250,110,57,15,45,0.2632,0.7895
2020s,-250,130,9,5,15,0.5556,1.6667
2020s,-230,130,2494,926,2778,0.3713,1.1139
2020s,-210,130,4814,1809,5427,0.3758,1.1273
2020s,-190,130,242,84,213,0.3471,0.8802
2020s,-170,130,336,135,270,0.4018,0.8036
2020s,-150,130,602,244,488,0.4053,0.8106
2020s,-130,130,1109,449,898,0.4049,0.8097
2020s,-110,130,1489,593,1186,0.3983,0.7965
2020s,-90,130,1607,687,1374,0.4275,0.8550
2020s,-70,130,2197,976,1952,0.4442,0.8885
2020s,-50,130,2227,943,1886,0.4234,0.8469
2020s,-30,130,2188,1023,2046,0.4676,0.9351
2020s,-10,130,3591,1566,3132,0.4361,0.8722
2020s,10,130,3879,1781,3562,0.4591,0.9183
2020s,30,130,2234,998,1996,0.4467,0.8935
2020s,50,130,2396,1073,2146,0.4478,0.8957
2020s,70,130,2500,1127,2254,0.4508,0.9016
2020s,90,130,1863,813,1626,0.4364,0.8728
2020s,110,130,1752,722,1444,0.4121,0.8242
2020s,130,130,1301,534,1068,0.4105,0.8209
2020s,150,130,731,291,582,0.3981,0.7962
2020s,170,130,284,97,194,0.3415,0.6831
2020s,190,130,156,62,146,0.3974,0.9359
2020s,210,130,4414,1600,4800,0.3625,1.0874
2020s,230,130,2247,800,2400,0.3560,1.0681
2020s,250,130,19,7,21,0.3684,1.1053
2020s,-250,150,5,4,12,0.8000,2.4000
2020s,-230,150,710,231,693,0.3254,0.9761
2020s,-210,150,6226,2256,6768,0.3624,1.0871
2020s,-190,150,3257,1210,3625,0.3715,1.1130
2020s,-170,150,259,100,213,0.3861,0.8224
2020s,-150,150,508,188,376,0.3701,0.7402
2020s,-130,150,1008,410,820,0.4067,0.8135
2020s,-110,150,1558,648,1296,0.4159,0.8318
2020s,-90,150,2088,876,1752,0.4195,0.8391
2020s,-70,150,1825,771,1542,0.4225,0.8449
2020s,-50,150,1470,619,1238,0.4211,0.8422
2020s,-30,150,1773,785,1570,0.4428,0.8855
2020s,-10,150,2945,1310,2620,0.4448,0.8896
2020s,10,150,3245,1479,2958,0.4558,0.9116
2020s,30,150,1822,811,1622,0.4451,0.8902
2020s,50,150,1532,679,1358,0.4432,0.8864
2020s,70,150,1853,780,1560,0.4209,0.8419
2020s,90,150,2251,945,1890,0.4198,0.8396
2020s,110,150,1841,773,1546,0.4199,0.8398
2020s,130,150,1109,443,886,0.3995,0.7989
2020s,150,150,433,157,314,0.3626,0.7252
2020s,170,150,174,70,141,0.4023,0.8103
2020s,190,150,2264,852,2553,0.3763,1.1277
2020s,210,150,5700,2106,6318,0.3695,1.1084
2020s,230,150,637,246,738,0.3862,1.1586
2020s,250,150,8,2,6,0.2500,0.7500
2020s,-250,170,2,1,3,0.5000,1.5000
2020s,-230,170,134,56,168,0.4179,1.2537
2020s,-210,170,3086,1104,3312,0.3577,1.0732
2020s,-190,170,8868,3241,9723,0.3655,1.0964
2020s,-170,170,2807,987,2950,0.3516,1.0509
2020s,-150,170,306,115,237,0.3758,0.7745
2020s,-130,170,587,218,436,0.3714,0.7428
2020s,-110,170,1028,422,844,0.4105,0.8210
2020s,-90,170,1444,625,1250,0.4328,0.8657
2020s,-70,170,1258,513,1026,0.4078,0.8156
2020s,-50,170,1322,525,1050,0.3971,0.7943
2020s,-30,170,1504,697,1394,0.4634,0.9269
2020s,-10,170,2197,955,1910,0.4347,0.8694
2020s,10,170,2375,1052,2104,0.4429,0.8859
2020s,30,170,1444,606,1212,0.4197,0.8393
2020s,50,170,1353,614,1228,0.4538,0.9076
2020s,70,170,1382,533,1066,0.3857,0.7713
2020s,90,170,1603,642,1284,0.4005,0.8010
2020s,110,170,1198,469,938,0.3915,0.7830
2020s,130,170,527,204,408,0.3871,0.7742
2020s,150,170,242,84,170,0.3471,0.7025
2020s,170,170,1853,649,1937,0.3502,1.0453
2020s,190,170,7485,2760,8280,0.3687,1.1062
2020s,210,170,2596,920,2760,0.3544,1.0632
2020s,230,170,148,51,153,0.3446,1.0338
2020s,250,170,2,0,0,0.0000,0.0000
2020s,-250,190,0,0,0,,
2020s,-230,190,73,27,81,0.3699,1.1096
2020s,-210,190,1017,365,1095,0.3589,1.0767
2020s,-190,190,5940,2138,6414,0.3599,1.0798
2020s,-170,190,11440,4070,12210,0.3558,1.0673
2020s,-150,190,3404,1220,3649,0.3584,1.0720
2020s,-130,190,335,127,286,0.3791,0.8537
2020s,-110,190,484,194,388,0.4008,0.8017
2020s,-90,190,815,286,572,0.3509,0.7018
2020s,-70,190,785,290,580,0.3694,0.7389
2020s,-50,190,919,371,742,0.4037,0.8074
2020s,-30,190,1057,444,888,0.4201,0.8401
2020s,-10,190,1334,577,1154,0.4325,0.8651
2020s,10,190,1384,552,1104,0.3988,0.7977
2020s,30,190,1130,484,968,0.4283,0.8566
2020s,50,190,1051,428,856,0.4072,0.8145
2020s,70,190,868,349,698,0.4021,0.8041
2020s,90,190,718,299,598,0.4164,0.8329
2020s,110,190,458,162,324,0.3537,0.7074
2020s,130,190,285,108,227,0.3789,0.7965
2020s,150,190,2647,945,2822,0.3570,1.0661
2020s,170,190,9758,3557,10671,0.3645,1.0936
2020s,190,190,4931,1740,5220,0.3529,1.0586
2020s,210,190,830,299,897,0.3602,1.0807
2020s,230,190,52,16,48,0.3077,0.9231
2020s,250,190,0,0,0,,
2020s,-250,210,0,0,0,,
2020s,-230,210,23,6,18,0.2609,0.7826
2020s,-210,210,323,114,342,0.3529,1.0588
2020s,-190,210,1847,664,1992,0.3595,1.0785
2020s,-170,210,7815,2737,8211,0.3502,1.0507
2020s,-150,210,12102,4314,12942,0.3565,1.0694
2020s,-130,210,6315,2349,7047,0.3720,1.1159
2020s,-110,210,1041,366,1059,0.3516,1.0173
2020s,-90,210,297,99,203,0.3333,0.6835
2020s,-70,210,388,144,288,0.3711,0.7423
2020s,-50,210,424,169,338,0.3986,0.7972
2020s,-30,210,525,196,392,0.3733,0.7467
2020s,-10,210,787,307,614,0.3901,0.7802
2020s,10,210,805,327,654,0.4062,0.8124
2020s,30,210,529,202,404,0.3819,0.7637
2020s,50,210,464,178,356,0.3836,0.7672
2020s,70,210,378,136,272,0.3598,0.7196
2020s,90,210,265,99,199,0.3736,0.7509
2020s,110,210,601,200,562,0.3328,0.9351
2020s,130,210,5486,1978,5933,0.3606,1.0815
2020s,150,210,12390,4478,13434,0.3614,1.0843
2020s,170,210,6455,2259,6777,0.3500,1.0499
2020s,190,210,1562,580,1740,0.3713,1.1140
2020s,210,210,260,84,252,0.3231,0.9692
2020s,230,210,12,7,21,0.5833,1.7500
2020s,250,210,0,0,0,,
2020s,-250,230,0,0,0,,
2020s,-230,230,7,0,0,0.0000,0.0000
2020s,-210,230,128,46,138,0.3594,1.0781
2020s,-190,230,659,231,693,0.3505,1.0516
2020s,-170,230,2528,822,2466,0.3252,0.9755
2020s,-150,230,6429,2254,6762,0.3506,1.0518
2020s,-130,230,10525,3780,11340,0.3591,1.0774
2020s,-110,230,9589,3445,10335,0.3593,1.0778
2020s,-90,230,5069,1845,5535,0.3640,1.0919
2020s,-70,230,1334,483,1430,0.3621,1.0720
2020s,-50,230,347,118,323,0.3401,0.9308
2020s,-30,230,225,77,165,0.3422,0.7333
2020s,-10,230,319,109,219,0.3417,0.6865
2020s,10,230,310,111,225,0.3581,0.7258
2020s,30,230,210,80,168,0.3810,0.8000
2020s,50,230,269,93,235,0.3457,0.8736
2020s,70,230,1091,407,1210,0.3731,1.1091
2020s,90,230,4829,1752,5252,0.3628,1.0876
2020s,110,230,10506,3755,11265,0.3574,1.0722
2020s,130,230,11318,3942,11826,0.3483,1.0449
2020s,150,230,6124,2135,6405,0.3486,1.0459
2020s,170,230,1899,648,1944,0.3412,1.0237
2020s,190,230,533,185,555,0.3471,1.0413
2020s,210,230,105,38,114,0.3619,1.0857
2020s,230,230,6,1,3,0.1667,0.5000
2020s,250,230,0,0,0,,
2020s,-250,250,0,0,0,,
2020s,-230,250,6,1,3,0.1667,0.5000
2020s,-210,250,36,16,48,0.4444,1.3333
2020s,-190,250,216,63,189,0.2917,0.8750
2020s,-170,250,675,197,591,0.2919,0.8756
2020s,-150,250,1584,536,1608,0.3384,1.0152
2020s,-130,250,3109,1137,3411,0.3657,1.0971
2020s,-110,250,5434,1861,5583,0.3425,1.0274
2020s,-90,250,7515,2581,7743,0.3434,1.0303
2020s,-70,250,7060,2509,7527,0.3554,1.0661
2020s,-50,250,6163,2255,6765,0.3659,1.0977
2020s,-30,250,5776,2027,6081,0.3509,1.0528
2020s,-10,250,6940,2440,7320,0.3516,1.0548
2020s,10,250,6928,2469,7407,0.3564,1.0691
2020s,30,250,5626,2032,6096,0.3612,1.0835
2020s,50,250,6231,2310,6930,0.3707,1.1122
2020s,70,250,7565,2666,7998,0.3524,1.0572
2020s,90,250,8229,2884,8652,0.3505,1.0514
2020s,110,250,5620,2031,6093,0.3614,1.0842
2020s,130,250,3064,1068,3204,0.3486,1.0457
2020s,150,250,1499,489,1467,0.3262,0.9787
2020s,170,250,549,184,552,0.3352,1.0055
2020s,190,250,164,52,156,0.3171,0.9512
2020s,210,250,49,18,54,0.3673,1.1020
2020s,230,250,4,0,0,0.0000,0.0000
2020s,250,250,0,0,0,,
2020s,-250,270,0,0,0,,
2020s,-230,270,2,0,0,0.0000,0.0000
2020s,-210,270,25,3,9,0.1200,0.3600
2020s,-190,270,97,24,72,0.2474,0.7423
2020s,-170,270,226,78,234,0.3451,1.0354
2020s,-150,270,490,163,489,0.3327,0.9980
2020s,-130,270,782,249,747,0.3184,0.9552
2020s,-110,270,1198,417,1251,0.3481,1.0442
2020s,-90,270,1919,680,2040,0.3544,1.0631
2020s,-70,270,2359,786,2358,0.3332,0.9996
2020s,-50,270,3111,1052,3156,0.3382,1.0145
2020s,-30,270,4616,1590,4770,0.3445,1.0334
2020s,-10,270,6466,2280,6840,0.3526,1.0578
2020s,10,270,6178,2149,6447,0.3478,1.0435
2020s,30,270,4139,1431,4293,0.3457,1.0372
2020s,50,270,3090,1057,3171,0.3421,1.0262
2020s,70,270,2375,792,2376,0.3335,1.0004
2020s,90,270,1771,611,1833,0.3450,1.0350
2020s,110,270,1246,398,1194,0.3194,0.9583
2020s,130,270,679,223,669,0.3284,0.9853
2020s,150,270,461,142,426,0.3080,0.9241
2020s,170,270,235,62,186,0.2638,0.7915
2020s,190,270,99,24,72,0.2424,0.7273
2020s,210,270,22,7,21,0.3182,0.9545
2020s,230,270,4,1,3,0.2500,0.7500
2020s,250,270,0,0,0,,
2020s,-250,290,0,0,0,,
2020s,-230,290,0,0,0,,
2020s,-210,290,19,2,6,0.1053,0.3158
2020s,-190,290,46,10,30,0.2174,0.6522
2020s,-170,290,81,15,45,0.1852,0.5556
2020s,-150,290,153,45,135,0.2941,0.8824
2020s,-130,290,219,57,171,0.2603,0.7808
2020s,-110,290,299,114,342,0.3813,1.1438
2020s,-90,290,405,141,423,0.3481,1.0444
2020s,-70,290,416,131,393,0.3149,0.9447
2020s,-50,290,529,169,507,0.3195,0.9584
2020s,-30,290,844,254,762,0.3009,0.9028
2020s,-10,290,1236,401,1203,0.3244,0.9733
2020s,10,290,1167,408,1224,0.3496,1.0488
2020s,30,290,672,218,654,0.3244,0.9732
2020s,50,290,495,159,477,0.3212,0.9636
2020s,70,290,424,136,408,0.3208,0.9623
2020s,90,290,358,115,345,0.3212,0.9637
2020s,110,290,260,81,243,0.3115,0.9346
2020s,130,290,189,53,159,0.2804,0.8413
2020s,150,290,142,43,129,0.3028,0.9085
2020s,170,290,97,28,84,0.2887,0.8660
2020s,190,290,27,7,21,0.2593,0.7778
2020s,210,290,14,3,9,0.2143,0.6429
2020s,230,290,3,0,0,0.0000,0.0000
2020s,250,290,1,1,3,1.0000,3.0000
2020s,-250,310,0,0,0,,
2020s,-230,310,1,0,0,0.0000,0.0000
2020s,-210,310,8,1,3,0.1250,0.3750
2020s,-190,310,30,4,12,0.1333,0.4000
2020s,-170,310,37,9,27,0.2432,0.7297
2020s,-150,310,68,21,63,0.3088,0.9265
2020s,-130,310,79,24,72,0.3038,0.9114
2020s,-110,310,67,15,45,0.2239,0.6716
2020s,-90,310,83,29,87,0.3494,1.0482
2020s,-70,310,98,30,90,0.3061,0.9184
2020s,-50,310,135,39,117,0.2889,0.8667
2020s,-30,310,172,47,141,0.2733,0.8198
2020s,-10,310,364,110,330,0.3022,0.9066
2020s,10,310,309,85,255,0.2751,0.8252
2020s,30,310,155,40,120,0.2581,0.7742
2020s,50,310,109,37,111,0.3394,1.0183
2020s,70,310,120,37,111,0.3083,0.9250
2020s,90,310,98,31,93,0.3163,0.9490
2020s,110,310,77,23,69,0.2987,0.8961
2020s,130,310,69,21,63,0.3043,0.9130
2020s,150,310,62,13,39,0.2097,0.6290
2020s,170,310,46,7,21,0.1522,0.4565
2020s,190,310,29,5,15,0.1724,0.5172
2020s,210,310,8,0,0,0.0000,0.0000
2020s,230,310,1,0,0,0.0000,0.0000
2020s,250,310,0,0,0,,
2020s,-250,330,0,0,0,,
2020s,-230,330,1,0,0,0.0000,0.0000
2020s,-210,330,11,1,3,0.0909,0.2727
2020s,-190,330,18,5,15,0.2778,0.8333
2020s,-170,330,27,6,18,0.2222,0.6667
2020s,-150,330,27,7,21,0.2593,0.7778
2020s,-130,330,28,4,12,0.1429,0.4286
2020s,-110,330,30,5,15,0.1667,0.5000
2020s,-90,330,38,14,42,0.3684,1.1053
2020s,-70,330,37,11,33,0.2973,0.8919
2020s,-50,330,43,15,45,0.3488,1.0465
2020s,-30,330,44,8,24,0.1818,0.5455
2020s,-10,330,104,29,87,0.2788,0.8365
2020s,10,330,113,27,81,0.2389,0.7168
2020s,30,330,45,6,18,0.1333,0.4000
2020s,50,330,37,10,30,0.2703,0.8108
2020s,70,330,31,4,12,0.1290,0.3871
2020s,90,330,36,9,27,0.2500,0.7500
2020s,110,330,31,5,15,0.1613,0.4839
2020s,130,330,21,1,3,0.0476,0.1429
2020s,150,330,19,4,12,0.2105,0.6316
2020s,170,330,27,7,21,0.2593,0.7778
2020s,190,330,20,4,12,0.2000,0.6000
2020s,210,330,8,2,6,0.2500,0.7500
2020s,230,330,1,0,0,0.0000,0.0000
2020s,250,330,0,0,0,,
2020s,-250,350,0,0,0,,
2020s,-230,350,0,0,0,,
2020s,-210,350,11,0,0,0.0000,0.0000
2020s,-190,350,11,0,0,0.0000,0.0000
2020s,-170,350,18,1,3,0.0556,0.1667
2020s,-150,350,13,1,3,0.0769,0.2308
2020s,-130,350,12,1,3,0.0833,0.2500
2020s,-110,350,14,6,18,0.4286,1.2857
2020s,-90,350,22,7,21,0.3182,0.9545
2020s,-70,350,14,2,6,0.1429,0.4286
2020s,-50,350,12,3,9,0.2500,0.7500
2020s,-30,350,29,6,18,0.2069,0.6207
2020s,-10,350,62,17,51,0.2742,0.8226
2020s,10,350,60,12,36,0.2000,0.6000
2020s,30,350,23,6,18,0.2609,0.7826
2020s,50,350,20,6,18,0.3000,0.9000
2020s,70,350,13,2,6,0.1538,0.4615
2020s,90,350,16,1,3,0.0625,0.1875
2020s,110,350,14,1,3,0.0714,0.2143
2020s,130,350,18,1,3,0.0556,0.1667
2020s,150,350,13,3,9,0.2308,0.6923
2020s,170,350,15,1,3,0.0667,0.2000
2020s,190,350,21,3,9,0.1429,0.4286
2020s,210,350,6,0,0,0.0000,0.0000
2020s,230,350,2,0,0,0.0000,0.0000
2020s,250,350,0,0,0,,
2020s,-250,370,0,0,0,,
2020s,-230,370,1,0,0,0.0000,0.0000
2020s,-210,370,9,1,3,0.1111,0.3333
2020s,-190,370,18,2,6,0.1111,0.3333
2020s,-170,370,14,1,3,0.0714,0.2143
2020s,-150,370,21,3,9,0.1429,0.4286
2020s,-130,370,16,2,6,0.1250,0.3750
2020s,-110,370,11,1,3,0.0909,0.2727
2020s,-90,370,8,1,3,0.1250,0.3750
2020s,-70,370,9,3,9,0.3333,1.0000
2020s,-50,370,16,2,6,0.1250,0.3750
2020s,-30,370,11,2,6,0.1818,0.5455
2020s,-10,370,39,6,18,0.1538,0.4615
2020s,10,370,46,10,30,0.2174,0.6522
2020s,30,370,14,2,6,0.1429,0.4286
2020s,50,370,5,1,3,0.2000,0.6000
2020s,70,370,17,1,3,0.0588,0.1765
2020s,90,370,15,0,0,0.0000,0.0000
2020s,110,370,14,2,6,0.1429,0.4286
2020s,130,370,13,1,3,0.0769,0.2308
2020s,150,370,16,2,6,0.1250,0.3750
2020s,170,370,17,2,6,0.1176,0.3529
2020s,190,370,20,1,3,0.0500,0.1500
2020s,210,370,10,0,0,0.0000,0.0000
2020s,230,370,2,0,0,0.0000,0.0000
2020s,250,370,0,0,0,,
2020s,-250,390,0,0,0,,
2020s,-230,390,0,0,0,,
2020s,-210,390,8,1,3,0.1250,0.3750
2020s,-190,390,16,2,6,0.1250,0.3750
2020s,-170,390,15,2,6,0.1333,0.4000
2020s,-150,390,14,0,0,0.0000,0.0000
2020s,-130,390,12,0,0,0.0000,0.0000
2020s,-110,390,5,1,3,0.2000,0.6000
2020s,-90,390,7,0,0,0.0000,0.0000
2020s,-70,390,4,0,0,0.0000,0.0000
2020s,-50,390,5,0,0,0.0000,0.0000
2020s,-30,390,7,0,0,0.0000,0.0000
2020s,-10,390,24,1,3,0.0417,0.1250
2020s,10,390,30,2,6,0.0667,0.2000
2020s,30,390,16,0,0,0.0000,0.0000
2020s,50,390,4,0,0,0.0000,0.0000
2020s,70,390,6,1,3,0.1667,0.5000
2020s,90,390,8,4,12,0.5000,1.5000
2020s,110,390,7,1,3,0.1429,0.4286
2020s,130,390,11,0,0,0.0000,0.0000
2020s,150,390,13,1,3,0.0769,0.2308
2020s,170,390,8,0,0,0.0000,0.0000
2020s,190,390,17,1,3,0.0588,0.1765
2020s,210,390,8,0,0,0.0000,0.0000
2020s,230,390,1,0,0,0.0000,0.0000
2020s,250,390,0,0,0,,
2020s,-250,410,0,0,0,,
2020s,-230,410,0,0,0,,
2020s,-210,410,4,1,3,0.2500,0.7500
2020s,-190,410,10,3,9,0.3000,0.9000
2020s,-170,410,8,1,3,0.1250,0.3750
2020s,-150,410,10,0,0,0.0000,0.0000
2020s,-130,410,4,0,0,0.0000,0.0000
2020s,-110,410,8,0,0,0.0000,0.0000
2020s,-90,410,5,0,0,0.0000,0.0000
2020s,-70,410,3,0,0,0.0000,0.0000
2020s,-50,410,2,0,0,0.0000,0.0000
2020s,-30,410,13,2,6,0.1538,0.4615
2020s,-10,410,37,6,18,0.1622,0.4865
2020s,10,410,34,1,3,0.0294,0.0882
2020s,30,410,12,2,6,0.1667,0.5000
2020s,50,410,6,0,0,0.0000,0.0000
2020s,70,410,3,0,0,0.0000,0.0000
2020s,90,410,5,0,0,0.0000,0.0000
2020s,110,410,6,1,3,0.1667,0.5000
2020s,130,410,8,0,0,0.0000,0.0000
2020s,150,410,3,0,0,0.0000,0.0000
2020s,170,410,12,2,6,0.1667,0.5000
2020s,190,410,7,0,0,0.0000,0.0000
2020s,210,410,7,0,0,0.0000,0.0000
2020s,230,410,2,0,0,0.0000,0.0000
2020s,250,410,0,0,0,,
